solution_EF;solution_PBDW;solution_PBDW_eta;solution_PBDW_z
0.40351;0.40351;1.2038e-07;0.40351
0.58286;0.58286;-9.2469e-08;0.58286
0.37138;0.37138;-1.102e-08;0.37138
0.19203;0.19203;-2.2419e-07;0.19203
0.40374;0.40374;1.2179e-07;0.40374
0.40436;0.40436;1.26e-07;0.40436
0.40539;0.40539;1.3323e-07;0.40539
0.40675;0.40675;1.4356e-07;0.40675
0.40842;0.40842;1.5716e-07;0.40842
0.41032;0.41032;1.7378e-07;0.41032
0.41252;0.41252;1.926e-07;0.41252
0.41497;0.41497;2.1107e-07;0.41497
0.41765;0.41765;2.2694e-07;0.41765
0.42047;0.42047;2.3946e-07;0.42047
0.42344;0.42344;2.5187e-07;0.42344
0.42661;0.42661;2.6755e-07;0.4266
0.42994;0.42994;2.8858e-07;0.42994
0.43341;0.43341;3.1444e-07;0.43341
0.43702;0.43702;3.3906e-07;0.43702
0.44079;0.44079;3.4645e-07;0.44079
0.44463;0.44463;3.1833e-07;0.44463
0.44868;0.44868;2.5403e-07;0.44868
0.45268;0.45268;1.6472e-07;0.45268
0.45688;0.45688;7.2628e-08;0.45688
0.46118;0.46118;-1.5596e-08;0.46118
0.46556;0.46556;-9.8536e-08;0.46556
0.47017;0.47017;-1.7536e-07;0.47017
0.47464;0.47464;-2.4632e-07;0.47464
0.47929;0.47929;-3.0611e-07;0.47929
0.48401;0.48401;-3.5125e-07;0.48401
0.48882;0.48882;-3.7702e-07;0.48882
0.49368;0.49368;-3.8404e-07;0.49368
0.49858;0.49858;-3.7601e-07;0.49858
0.5036;0.5036;-3.5822e-07;0.5036
0.50853;0.50853;-3.3697e-07;0.50853
0.51365;0.51365;-3.1578e-07;0.51365
0.51874;0.51874;-2.9743e-07;0.51874
0.52375;0.52375;-2.8263e-07;0.52375
0.5288;0.5288;-2.7228e-07;0.5288
0.53384;0.53384;-2.657e-07;0.53384
0.53884;0.53884;-2.6172e-07;0.53884
0.54382;0.54382;-2.5819e-07;0.54382
0.54862;0.54862;-2.5258e-07;0.54862
0.55329;0.55329;-2.4309e-07;0.55329
0.55792;0.55792;-2.2813e-07;0.55792
0.56222;0.56222;-2.0903e-07;0.56222
0.5663;0.5663;-1.8717e-07;0.5663
0.57012;0.57011;-1.6503e-07;0.57011
0.57361;0.57361;-1.4434e-07;0.57361
0.57666;0.57666;-1.2628e-07;0.57666
0.5792;0.5792;-1.1176e-07;0.5792
0.58114;0.58114;-1.0105e-07;0.58114
0.58243;0.58243;-9.4631e-08;0.58243
0.58223;0.58223;-9.0321e-08;0.58223
0.5804;0.5804;-8.3916e-08;0.5804
0.57761;0.57761;-7.3003e-08;0.57761
0.57399;0.57399;-5.7613e-08;0.57399
0.56966;0.56966;-3.7631e-08;0.56966
0.56472;0.56472;-1.3223e-08;0.56472
0.55931;0.55931;1.6018e-08;0.55931
0.55354;0.55354;4.9822e-08;0.55354
0.54747;0.54747;8.8487e-08;0.54747
0.5411;0.54109;1.3241e-07;0.54109
0.53452;0.53452;1.8249e-07;0.53452
0.52783;0.52783;2.3826e-07;0.52783
0.52107;0.52107;2.949e-07;0.52107
0.51426;0.51426;3.3761e-07;0.51426
0.50744;0.50744;3.5173e-07;0.50744
0.50067;0.50067;3.3455e-07;0.50067
0.49391;0.49391;2.9734e-07;0.4939
0.48727;0.48727;2.576e-07;0.48727
0.48063;0.48063;2.2219e-07;0.48063
0.47416;0.47416;1.9371e-07;0.47416
0.46782;0.46782;1.7046e-07;0.46782
0.46161;0.46161;1.5146e-07;0.46161
0.45565;0.45565;1.3678e-07;0.45565
0.4497;0.4497;1.2545e-07;0.4497
0.444;0.444;1.1858e-07;0.444
0.43848;0.43848;1.1618e-07;0.43848
